sno,filename,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20
19,Script_A_Serious_Man.txt,2.37E-05,0.000498481,0.223248196,0.005435815,0.000213635,2.37E-05,0.000118686,2.37E-05,2.37E-05,0.268823585,0.360923851,0.000118686,2.37E-05,0.001258071,0.000118686,0.000118686,0.000213635,0.1371297,0.000973224,0.000688378
20,Script_10_Things_I_Hate_About_You.txt,0.000799691,0.002674829,0.129853298,0.006425105,0.001351202,0.326522171,0.000137878,0.003557247,2.76E-05,0.369981249,0.0012409,0.000358482,2.76E-05,2.76E-05,0.000689389,2.76E-05,0.000799691,0.154009486,2.76E-05,0.001461505
21,Script_American_Hustle.txt,1.71E-05,0.000153951,0.08020869,0.000496066,0.000906603,0.001111871,1.71E-05,0.00083818,1.71E-05,0.330020527,0.451402668,1.71E-05,0.001111871,1.71E-05,1.71E-05,0.000153951,1.71E-05,0.13344167,1.71E-05,1.71E-05
22,Script_500_Days_of_Summer.txt,3.06E-05,0.000641731,0.085227967,0.004553233,3.06E-05,0.000275028,0.029000122,0.001741841,0.000641731,0.762406796,0.001375138,0.002108544,0.001497372,3.06E-05,0.000152793,0.000152793,0.0008862,0.107596871,3.06E-05,0.001619606
23,Script_American_Pie.txt,0.000716049,2.47E-05,0.115382716,0.000222222,2.47E-05,0.000814815,0.346888889,0.005851852,2.47E-05,0.412074074,0.000716049,2.47E-05,2.47E-05,2.47E-05,0.000123457,0.000222222,2.47E-05,0.116765432,2.47E-05,2.47E-05
24,Script_American_Outlaws.txt,2.37E-05,2.37E-05,0.263381418,2.37E-05,0.405736927,0.000213533,2.37E-05,0.000213533,0.00011863,0.205015659,2.37E-05,2.37E-05,0.000308437,0.000213533,2.37E-05,2.37E-05,2.37E-05,0.124062826,0.000498244,2.37E-05
25,Script_Analyze_That.txt,0.000905,0.000122297,0.133964387,0.000220135,2.45E-05,0.004133646,0.000611486,2.45E-05,0.005992564,0.323671852,0.000709324,0.000220135,0.37718912,0.000122297,0.007166618,2.45E-05,2.45E-05,0.138367087,0.005796889,0.000709324
26,Script_Angels__Demons.txt,1.81E-05,0.00023481,0.415016979,1.81E-05,1.81E-05,1.81E-05,1.81E-05,1.81E-05,1.81E-05,0.088739975,0.315457698,1.81E-05,1.81E-05,9.03E-05,1.81E-05,0.000812803,1.81E-05,0.179268116,1.81E-05,0.000162561
27,Script_A_Few_Good_Men.txt,1.95E-05,1.95E-05,0.088344397,0.487172979,0.000488091,1.95E-05,1.95E-05,0.000331902,1.95E-05,0.297012886,0.000175713,1.95E-05,1.95E-05,1.95E-05,1.95E-05,0.000253807,1.95E-05,0.125673565,0.000253807,9.76E-05
28,Script_15_Minutes.txt,2.05E-05,2.05E-05,0.150586354,0.000102509,2.05E-05,2.05E-05,0.000184517,0.000512547,2.05E-05,0.28097835,2.05E-05,0.002808758,0.00174266,2.05E-05,2.05E-05,2.05E-05,2.05E-05,0.258426275,0.304432508,2.05E-05
29,Script_12_Years_a_Slave.txt,1.81E-05,1.81E-05,0.250090659,0.469701915,0.000598346,1.81E-05,0.000453293,0.000453293,0.000670873,0.18336597,1.81E-05,0.001396142,1.81E-05,0.000163185,1.81E-05,0.000308239,0.000235712,0.091764578,1.81E-05,0.000670873
30,Script_Assignment_The.txt,8.56E-05,1.71E-05,0.250359589,0.001044521,0.00125,1.71E-05,8.56E-05,0.001455479,0.001660959,0.211797945,1.71E-05,0.003989726,0.000222603,0.000359589,1.71E-05,0.000565068,1.71E-05,0.251797945,1.71E-05,0.275222603
31,Script_April_Fools_Day.txt,0.000521506,0.000422171,0.247963644,2.48E-05,0.001713519,2.48E-05,2.48E-05,2.48E-05,0.000521506,0.252831032,2.48E-05,0.000322837,2.48E-05,0.298127545,0.000223503,2.48E-05,2.48E-05,0.196011721,0.000422171,0.000720175
32,Script_All_the_Kings_Men.txt,2.43E-05,2.43E-05,0.105297723,0.00333236,2.43E-05,2.43E-05,2.43E-05,2.43E-05,2.43E-05,0.356124732,2.43E-05,2.43E-05,2.43E-05,0.000316209,0.000316209,2.43E-05,2.43E-05,0.145772524,2.43E-05,0.388524032
33,Script_Amityville_Asylum_The.txt,3.01E-05,3.01E-05,0.256842296,0.000150711,3.01E-05,3.01E-05,0.00027128,3.01E-05,0.002562093,0.246352785,0.00027128,3.01E-05,3.01E-05,3.01E-05,0.316282855,3.01E-05,3.01E-05,0.176784422,0.000150711,3.01E-05
34,Script_American_History_X.txt,0.016885802,0.003419574,0.129175061,0.013386703,0.000132542,0.036077828,0.409633125,0.010841904,0.007342806,0.174451278,0.003419574,2.65E-05,0.007448839,2.65E-05,0.033214929,0.004798007,0.001086841,0.144125755,0.004479907,2.65E-05
35,Script_Ace_Ventura_Pet_Detective.txt,0.003587226,2.70E-05,0.189152012,0.000458518,0.377413961,0.000458518,0.001105837,0.00315568,0.001753156,0.225186104,0.000566404,0.001429496,0.000242745,0.001861042,0.000458518,0.000134858,2.70E-05,0.19077031,0.000566404,0.001645269
